tempo_ms,ax,ay,az,gx,gy,gz,pitch,roll,yaw,magnitude
2461,0.3953,-0.0066,0.9551,4.533,-21.005,3.6065,-0.8862,-0.0763,0.0108,1.0337
2478,0.3396,0.0308,0.9153,1.2735,-25.0585,3.2096,-1.6438,-0.4052,0.0654,0.9767
2494,0.3025,0.0378,0.8911,-1.3219,-17.9669,4.6829,-2.3477,-0.5677,0.1403,0.9418
2511,0.3267,0.0078,0.9126,-1.2914,-17.3562,4.3852,-3.0627,-0.8086,0.2149,0.9693
2528,0.3499,0.0051,0.8977,-0.9326,-19.6539,1.1485,-3.807,-1.084,0.2344,0.9635
2544,0.3416,0.02,0.8738,-0.1158,-19.6005,0.7439,-4.5103,-1.2892,0.2463,0.9384
2599,0.3364,0.0332,0.908,3.0292,-11.3104,-4.8515,-4.9827,-1.751,-0.0205,0.9689
2616,0.3467,0.0278,0.8872,2.0139,-11.9058,-4.6148,-5.6039,-1.8034,-0.099,0.9529
2633,0.345,0.0164,0.8811,1.7849,-11.2722,-4.7981,-6.2057,-1.8727,-0.1806,0.9464
2650,0.342,0.0178,0.8801,1.4261,-10.9516,-5.1034,-6.7836,-1.9301,-0.2673,0.9444
2666,0.3516,0.0313,0.8838,0.0063,-12.5852,-5.3629,-7.3793,-1.9652,-0.3531,0.9517
2683,0.365,0.043,0.875,-1.3677,-13.8524,-5.2179,-8.0112,-2.0002,-0.4418,0.949
2738,0.3228,0.0076,0.9014,-0.5815,-8.3256,-2.6377,-8.5095,-2.3406,-0.5869,0.9574
2755,0.3335,0.011,0.9094,0.2964,-10.6615,-3.6072,-8.9697,-2.3932,-0.6482,0.9687
2771,0.3291,0.0142,0.8784,0.7239,-13.0279,-2.4851,-9.4213,-2.4607,-0.688,0.9382
2788,0.3203,0.0247,0.8845,2.3651,-12.6921,-1.8439,-9.8018,-2.5055,-0.7193,0.9411
2805,0.321,0.0366,0.8882,3.9987,-12.2875,-3.34,-10.1388,-2.5114,-0.7761,0.9451
2822,0.3254,0.0557,0.8904,2.7391,-11.9363,-3.0118,-10.4902,-2.4626,-0.8273,0.9496
2877,0.335,0.0317,0.8872,0.5483,-5.8371,0.0264,-10.8685,-2.5904,-0.8259,0.9489
2893,0.3406,0.0295,0.8938,-0.467,-4.7913,1.9042,-11.2749,-2.4846,-0.7954,0.9569
2911,0.342,0.0203,0.8997,-1.0013,-6.8295,1.4233,-11.6737,-2.4517,-0.7698,0.9627
2927,0.3416,0.0337,0.8994,-2.3448,-11.1195,0.8126,-12.074,-2.4386,-0.7568,0.9627
2944,0.3403,0.0405,0.8994,-3.5281,-15.5623,-0.2942,-12.4769,-2.4918,-0.7618,0.9625
2961,0.3425,0.041,0.8672,-4.1693,-13.4936,0.5836,-12.9071,-2.504,-0.7519,0.9333
3015,0.3418,0.0229,0.9011,1.4872,-4.0203,0.2706,-13.1443,-2.5539,-0.7372,0.964
3033,0.3403,0.0283,0.9211,1.3345,-8.8142,-1.6377,-13.4063,-2.5336,-0.7667,0.9824
3049,0.3401,0.0232,0.9121,-0.2838,-14.2035,-2.195,-13.6921,-2.5922,-0.8018,0.9737
3066,0.3203,0.0212,0.8816,-0.3983,-16.8524,-2.3782,-13.9494,-2.7083,-0.8423,0.9382
3083,0.3252,0.0476,0.8713,0.3574,-15.0203,-1.653,-14.2031,-2.72,-0.8704,0.9313
3099,0.3242,0.0525,0.8647,1.7849,-10.9898,-1.7141,-14.4283,-2.6411,-0.8978,0.925
3154,0.3093,0.0273,0.8777,2.388,-5.2264,1.5302,-14.5013,-2.74,-0.8136,0.931
3171,0.3123,0.0222,0.8896,1.7849,-7.0585,0.7439,-14.6655,-2.6884,-0.801,0.9431
3188,0.3323,0.021,0.9033,0.1132,-8.8905,0.4081,-14.8847,-2.6727,-0.7941,0.9627
3205,0.3416,0.0342,0.9136,-1.3906,-9.8447,1.2019,-15.1314,-2.6408,-0.7736,0.9759
3221,0.3628,0.031,0.9187,-0.9861,-10.6386,1.0951,-15.4028,-2.6212,-0.7561,0.9882
3238,0.3579,0.0242,0.9197,-0.8487,-11.6081,0.7516,-15.6508,-2.6456,-0.7433,0.9872
3294,0.3345,0.0222,0.9338,1.3345,-16.8066,-2.7675,-15.7411,-3.3888,-0.8983,0.9922
3310,0.3254,0.0369,0.9385,0.1666,-19.0127,-3.3935,-15.8734,-3.4553,-0.9526,0.994
3326,0.3418,0.0452,0.949,-0.6578,-18.8676,-2.6683,-16.04,-3.4979,-0.9953,1.0097
3344,0.354,0.0342,0.9421,-0.5968,-18.2417,-4.7065,-16.232,-3.5901,-1.08,1.007
3360,0.3035,0.0505,0.9814,-5.2609,-16.2798,-9.7141,-16.3499,-3.5786,-1.2354,1.0285
3377,0.26,0.0652,1.0227,-14.4975,-17.4096,-14.4316,-16.502,-3.5737,-1.4808,1.0573
3432,0.4219,0.0039,0.9614,-18.1998,-31.7302,-12.5156,-17.7505,-5.0968,-2.1691,1.0499
3449,0.3628,0.0085,0.9185,-16.0166,-30.8371,-5.05,-18.164,-5.3749,-2.255,0.9876
3466,0.3003,-0.0134,0.8899,-13.8716,-21.7302,2.4081,-18.4096,-5.5491,-2.214,0.9393
3482,0.293,-0.0244,0.8704,-10.8258,-8.86,8.7668,-18.5834,-5.5275,-2.0738,0.9187
3500,0.3093,-0.0383,0.8896,-8.4059,7.1476,14.4081,-18.7516,-5.2816,-1.8144,0.9427
3516,0.3347,-0.0527,0.9272,-5.7647,17.8957,17.1256,-18.8828,-4.9256,-1.5404,0.9872
3571,0.3516,-0.0176,0.9868,-4.612,1.7736,19.6447,-19.1553,-4.6758,-0.46,1.0477
3588,0.3533,-0.0156,0.991,-2.9937,-2.7684,16.3317,-19.2226,-4.5701,-0.1823,1.0522
3605,0.3462,-0.0205,0.9573,-0.2914,-1.0279,10.9806,-19.2536,-4.4531,0.0043,1.0182
3621,0.3435,-0.0166,0.9624,2.7544,-2.2035,5.8126,-19.2268,-4.3484,0.0973,1.022
3638,0.3254,-0.0188,0.9744,4.1971,-11.547,3.3852,-19.1278,-4.4071,0.1549,1.0274
3655,0.3018,-0.0334,0.9919,5.3651,-19.8066,3.0722,-18.9516,-4.6313,0.2071,1.0374
