tempo_ms,ax,ay,az,gx,gy,gz,pitch,roll,yaw,magnitude
5744.0,0.0477,-0.0189,0.9161,0,0,0,-0.0021840771935666458,-0.005512222754645622,0.0,0.9175356723310544
5760.0,0.052,-0.0217,0.9142,0,0,0,-0.0066487294813823185,-0.01645816478835512,0.0,0.9159347847963849
5776.0,0.0483,-0.0186,0.9172,0,0,0,-0.012781627531861784,-0.0318106856042618,0.0,0.9186591805452118
5791.0,0.0486,-0.0222,0.9133,0,0,0,-0.02082200448001316,-0.05111635101183298,0.0,0.9148615687632747
5808.0,0.0488,-0.0204,0.9159,0,0,0,-0.030334964601223896,-0.073935155731877,0.0,0.9174259697654085
5823.0,0.0525,-0.0217,0.9188,0,0,0,-0.04129481045414757,-0.10027738569587102,0.0,0.920554495942527
5838.0,0.0485,-0.0187,0.918,0,0,0,-0.05316407675912947,-0.12923083518143827,0.0,0.9194704671711865
5855.0,0.0477,-0.0212,0.9109,0,0,0,-0.06613116377938513,-0.1603820848799522,0.0,0.9123943993690448
5870.0,0.0482,-0.02,0.9183,0,0,0,-0.07989450452488084,-0.19346402452058362,0.0,0.9197815664602113
5885.0,0.0472,-0.0216,0.9121,0,0,0,-0.09454327414942257,-0.22810202418587194,0.0,0.9135758370272279
5902.0,0.0511,-0.0217,0.9165,0,0,0,-0.10995498622936017,-0.26451250722793646,0.0,0.918179911564177
5917.0,0.0498,-0.0208,0.9139,0,0,0,-0.1259094450466995,-0.30227945952744956,0.0,0.9154921572575049
5934.0,0.0497,-0.0223,0.9139,0,0,0,-0.14249822094928827,-0.3411655256563149,0.0,0.9155220314115876
5949.0,0.0488,-0.022,0.9159,0,0,0,-0.15957660184379766,-0.3808492188578829,0.0,0.9174629420309031
5964.0,0.049,-0.0197,0.9155,0,0,0,-0.17677428095815256,-0.42118948405740697,0.0,0.9170219953741567
5981.0,0.047,-0.0195,0.9176,0,0,0,-0.19401525435911296,-0.4617763553652275,0.0,0.9190097986419948
5996.0,0.0508,-0.0186,0.9133,0,0,0,-0.2111595137311016,-0.5029931281626745,0.0,0.9149008088312087
6012.0,0.0494,-0.0206,0.9169,0,0,0,-0.22842345836734335,-0.5444951102235458,0.0,0.9184608483762388
6028.0,0.0485,-0.0211,0.9163,0,0,0,-0.2458226805293641,-0.5860604890397609,0.0,0.9178252284612796
6043.0,0.0485,-0.0206,0.9132,0,0,0,-0.2632530954031878,-0.6276183653827591,0.0,0.914719000567934
6060.0,0.0474,-0.0173,0.9174,0,0,0,-0.28025863011621927,-0.6689280553936879,0.0,0.9187865965500367
6075.0,0.0498,-0.0189,0.9176,0,0,0,-0.2970526542772578,-0.7102328604292413,0.0,0.9191447165707911
6091.0,0.0513,-0.0197,0.9164,0,0,0,-0.3137285676747822,-0.7516447139807249,0.0,0.9180461535238846
6107.0,0.0483,-0.0154,0.9152,0,0,0,-0.3297372513306623,-0.7927049854052562,0.0,0.9166030165780604
6122.0,0.0465,-0.0204,0.9122,0,0,0,-0.3457530902047202,-0.8331688053832119,0.0,0.9136121989115513
6138.0,0.0497,-0.0214,0.9141,0,0,0,-0.3618629727429468,-0.8734117041436206,0.0,0.9157002020312106
6154.0,0.0481,-0.0211,0.916,0,0,0,-0.37798221006765814,-0.913169464306758,0.0,0.9175046702878411
6169.0,0.048,-0.02,0.9154,0,0,0,-0.39394247197970117,-0.9524114072806,0.0,0.9168757603950494
6185.0,0.0475,-0.0217,0.9166,0,0,0,-0.40993923766124407,-0.9910504781208993,0.0,0.9180864338394288
6201.0,0.0493,-0.021,0.9142,0,0,0,-0.425855326790585,-1.0293196165514527,0.0,0.9157691466739857
6217.0,0.0474,-0.0195,0.917,0,0,0,-0.44147474225302213,-1.0669321618607306,0.0,0.9184312766886807
6233.0,0.0468,-0.0179,0.9203,0,0,0,-0.4565935030185353,-1.1037948733718248,0.0,0.9216630295286884
6248.0,0.0499,-0.0219,0.9171,0,0,0,-0.47174640822993885,-1.1403284077502434,0.0,0.9187176007892741
6264.0,0.0509,-0.0209,0.9156,0,0,0,-0.48677853363404894,-1.1766327219424866,0.0,0.9172518629035321
6280.0,0.0486,-0.0215,0.9143,0,0,0,-0.5017527201502476,-1.2123846093944926,0.0,0.9158431634291977
