tempo_ms,ax,ay,az,gx,gy,gz,pitch,roll,yaw,magnitude
4653.0,0.0238,0.0277,0.9192,0,0,0,0.003200024998973295,-0.0027494897483055945,0.0,0.919925198046015
4665.0,0.0229,0.027,0.9177,0,0,0,0.009180347773520305,-0.007853132665664241,0.0,0.9183826544529247
4677.0,0.0264,0.0308,0.9159,0,0,0,0.018084658210943863,-0.01546574274071818,0.0,0.9167979112105351
4689.0,0.0248,0.0302,0.9142,0,0,0,0.02951795194405677,-0.02512052083184871,0.0,0.9150348190096375
4701.0,0.0273,0.0323,0.9156,0,0,0,0.04343614934683215,-0.03687665081207854,0.0,0.9165762052333674
4713.0,0.0258,0.0326,0.9205,0,0,0,0.05957193960759086,-0.0502992110066712,0.0,0.9214383593057107
4725.0,0.025,0.0294,0.9169,0,0,0,0.077275426927374,-0.06509019454020161,0.0,0.9177118120630245
4737.0,0.0215,0.0316,0.9193,0,0,0,0.0966003974818013,-0.08064640706360901,0.0,0.9200941799620297
4749.0,0.0234,0.0289,0.916,0,0,0,0.11701208252729758,-0.09708905760269297,0.0,0.9167544764003064
4761.0,0.0229,0.0298,0.9177,0,0,0,0.13845586747513916,-0.11422466429886519,0.0,0.9184692373727059
4773.0,0.0273,0.0295,0.9155,0,0,0,0.16074442898672414,-0.13248214242005307,0.0,0.9163819018291446
4785.0,0.024,0.0306,0.9203,0,0,0,0.18386116570987246,-0.15128775235166106,0.0,0.9211213003725406
4797.0,0.0259,0.0277,0.9198,0,0,0,0.20731491767529128,-0.1707760084953522,0.0,0.9205814141074107
4809.0,0.0249,0.0293,0.9172,0,0,0,0.23122540343901027,-0.19071562195469804,0.0,0.9180056317910038
4821.0,0.0234,0.0295,0.9188,0,0,0,0.2555141353621971,-0.21082881793479818,0.0,0.9195712316074269
4833.0,0.0249,0.0311,0.9141,0,0,0,0.2803018788610557,-0.23125325603045097,0.0,0.9149677753888384
4845.0,0.0265,0.0276,0.917,0,0,0,0.3050438348712939,-0.25210299081629045,0.0,0.9177979134864058
4857.0,0.0275,0.031,0.9154,0,0,0,0.3301211145877907,-0.2734162464394601,0.0,0.9163374978685528
4869.0,0.024,0.0291,0.9158,0,0,0,0.35521091974687363,-0.29466519984018585,0.0,0.9165764834425985
4881.0,0.0249,0.03,0.9149,0,0,0,0.3803770748395815,-0.3159296887423097,0.0,0.9157303205638656
4893.0,0.0232,0.0306,0.9193,0,0,0,0.4056203712907991,-0.3369431110573922,0.0,0.9201016737295938
4905.0,0.0272,0.0312,0.9163,0,0,0,0.43096670757158817,-0.3581973914726503,0.0,0.9172344138768453
4917.0,0.0234,0.0282,0.9187,0,0,0,0.45597440267531125,-0.37914463623191536,0.0,0.9194305248358898
4929.0,0.0249,0.0303,0.9154,0,0,0,0.4809057649697362,-0.3999753962228827,0.0,0.9162397393695604
4941.0,0.0262,0.0323,0.9158,0,0,0,0.505967077621971,-0.4208223480981637,0.0,0.9167438955346252
4953.0,0.0247,0.0295,0.918,0,0,0,0.5307380641215834,-0.4414492896972818,0.0,0.9188059316308314
4965.0,0.0248,0.0311,0.9154,0,0,0,0.5554121840579421,-0.4618617675879415,0.0,0.9162638320920454
4977.0,0.0248,0.0278,0.9169,0,0,0,0.5795362304555054,-0.4820397278504068,0.0,0.9176565207091377
4989.0,0.0237,0.0282,0.9161,0,0,0,0.6031796989324986,-0.5018363831398782,0.0,0.9168403023427799
5001.0,0.0212,0.0293,0.9175,0,0,0,0.6264836915976877,-0.5209416022092457,0.0,0.9182124917468723
5013.0,0.0239,0.0295,0.9158,0,0,0,0.649472903975745,-0.5397400509610963,0.0,0.9165866571143177
5025.0,0.0234,0.0326,0.917,0,0,0,0.6725198219978079,-0.5581643098271856,0.0,0.917877617114613
5037.0,0.0242,0.0286,0.9186,0,0,0,0.695067545634508,-0.5763162379463831,0.0,0.9193636712422347
5049.0,0.0209,0.0282,0.9182,0,0,0,0.7170819764828139,-0.593781910158252,0.0,0.9188706601040214
5061.0,0.0255,0.0295,0.9202,0,0,0,0.7387355596419777,-0.6111739866173397,0.0,0.9210258085417585
5073.0,0.0247,0.0288,0.9181,0,0,0,0.759948721786261,-0.6283734076777793,0.0,0.9188836378998159
5085.0,0.0204,0.0291,0.9199,0,0,0,0.7807617416801406,-0.6448271533364538,0.0,0.9205862154084212
5097.0,0.0248,0.0314,0.9165,0,0,0,0.8014794668020346,-0.6611491840294942,0.0,0.917373015735693
5109.0,0.0256,0.0314,0.9117,0,0,0,0.8220909037280352,-0.67743761847368,0.0,0.9125996986631104
